id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
38564,Силивончик Ирина Михайловна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3424
38565,Шевелеико Лариса Николаевна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38566,Шелег Валентина Григорьевна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3424
38567,Шкода Вероника Вячеславовна,Светлогорской районной организацией Социал-демократической партии Народного Согласия,0,2,11248,,,,,,,,,,,3424
38568,Слива Юлия Васильевна,Светлогорской районной организацией Республиканской партии труда и справедливости,1,3,NULL,,,,,,,,,,,3425
38569,Белоцерковская Светлана Михайловна,"Светлогорской районной организацией Белорусского профессионального союза работников культуры, информации, спорта и туризма",2,22,NULL,,,,,,,,,,,3425
38570,Промашкова Елена Евгеньевна,Светлогорской районной организацией Республиканского общественного объединения «Белая Русь»,3,4,NULL,,,,,,,,,,,3425
38571,Дикун Светлана Евгеньевна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38572,Клименок Ирина Иосифовна,Светлогорской районной организацией общественного объединения «Белорусский союз женщин»,0,8,NULL,,,,,,,,,,,3425
38573,Климович Людмила Николаевна,Светлогорской районной организацией общественного объединения «Белорусский фонд мира»,0,15,NULL,,,,,,,,,,,3425
38574,Ковалькова Татьяна Владимировна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38575,Куляко Виктория Валерьевна,Светлогорской районной организацией общественного объединения «Белорусский республиканский союз молодёжи»,0,11,NULL,,,,,,,,,,,3425
38576,Куприк Галина Сергеевна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38577,Пищало Инна Александровна,трудовым коллективом коммунального унитарного кинозрелищного предприятия «Светлогорсккиновидеосеть»,0,NULL,12973,,,,,,,,«Светлогорсккиновидеосеть»,,,3425
38578,Прокопчук Вера Григорьевна,Светлогорской районной организацией Коммунистической партии Беларуси,0,7,NULL,,,,,,,,,,,3425
38579,Руденкова Светлана Антоновна,гражданами путём подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38580,Самойленко Нина Ивановна,Светлогорской районной организацией Белорусского Общества Красного Креста,0,5,NULL,,,,,,,,,,,3425
38581,Станкевич Александра Михайловна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38582,Старовойтова Диана Ивановна,гражданами путем подачи заявления,0,4000,NULL,,,,,,,,,,,3425
38583,Трояновская Екатерина Васильевна,Светлогорской районной организацией Социал-демократической партии Народного Согласия,0,2,NULL,,,,,,,,,,,3425
38584,Хацкевич Ольга Степановна,гражданами путем подачи заявления,0,4000,12973,,,,,,,,,,,3425
38585,Лебедева Лариса Александровна,трудовым коллективом отдела кадров и бюро организации труда и заработной платы открытого акционерного общества «Светлогорский целлюлозно-картонный комбинат»,1,NULL,12971,,,,,,,,«Светлогорский целлюлозно-картонный комбинат»,,,3426
38586,Мартынчик Александр Алексеевич,гражданами путем подачи заявления,2,4000,NULL,,,,,,,,,,,3426
38587,Дайнеко Ирина Викторовна,Светлогорской районной организацией Коммунистической партии Беларуси,3,7,NULL,,,,,,,,,,,3426
