id,full_name,description,position_type,referral_id,employer_id,photo_url,photo_origin,notes,work_title,links,photo_url_2,photo_origin_2,notes_2,work_title_2,links_2,commission_id
40915,Кравец Марина Николаевна,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40916,Нечай Наталья Валерьевна,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40917,Пригодич Игорь Станиславович,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40918,Толкина Ирина Станиславовна,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40919,Шаповалов Вадим Геннадьевич,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40920,Юраго Ольга Леонидовна,заявления граждан,0,4000,NULL,,,,,,,,,,,3631
40921,Дрозд Татьяна Юрьевна,"Октябрьской районной организацией г.Гродно Республиканского общественного объединения «Белая Русь», путем подачи заявления граждан",1,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%94%D1%80%D0%BE%D0%B7%D0%B4%20%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0%20%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/director/258408,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40922,Будрик Ирина Генриковна,"Октябрьской районной организацией Белорусского фонда мира, путем подачи заявления граждан",2,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%91%D1%83%D0%B4%D1%80%D0%B8%D0%BA%20%D0%98%D1%80%D0%B8%D0%BD%D0%B0%20%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D0%BA%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/administration/258473,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40923,Громова Елена Валентиновна,заявления граждан,3,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%93%D1%80%D0%BE%D0%BC%D0%BE%D0%B2%D0%B0%20%D0%95%D0%BB%D0%B5%D0%BD%D0%B0%20%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/teacher/258501,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40924,Аракчеева Валентина Николаевна,Октябрьской районной г.Гродно организацией ветеранов Белорусского общественного объединения ветеранов,0,1,NULL,,,,,,,,,,,3632
40925,Валентюкевич Евгений Филоретович,заявления граждан,0,4000,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D1%8E%D0%BA%D0%B5%D0%B2%D0%B8%D1%87%20%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9%20%D0%A4%D0%B8%D0%BB%D0%BE%D1%80%D0%B5%D1%82%D0%BE%D0%B2%D0%B8%D1%87.jpeg,https://sch5grodno.schools.by/administration/966238,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40926,Гавриленко Светлана Константиновна,Октябрьской районной организацией общественного объединения «Белорусский союз женщин» г.Гродно,0,8,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE%20%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0%20%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/administration/258476,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
40927,Карабаева Ольга Николаевна,Гродненской городской организацией Белорусского профессионального союза работников образования и науки,0,26,5590,https://members2020by.s3.eu-north-1.amazonaws.com/04-022-0134%20%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D0%B5%D0%B2%D0%B0%20%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0%20%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%BD%D0%B0.jpeg,https://sch5grodno.schools.by/teacher/258483,"ГУО ""Средняя школа №5 г.Гродно""",,,,,,,,3632
